card_name,card_number
Greedent V (Full Art),256/264
Kabutops ex,97/100
Darkness Energy - 2007 (Tom Roos),87/108
Black Kyurem - XY160,XY160
Leavanny,3/101
Cinderace VMAX,045/264
Mary's Impulse,142/165
Celebi Prism Star,19/214
Cherish Ball - 2019 (Haruki Miyamoto),191/236
Gliscor - DP36,DP36
Eldegoss - SWSH046,SWSH046
Pidgeot - 2006 (Jimmy Ballard),10/112
Basic Water Energy (Blue Border),
Psychic Energy,109/114
Silvally GX - SM91,SM91
Kartana GX (Full Art),106/111
Exeggutor,135/132
Tauros GX (Full Art),144/149
Muk & Alolan Muk GX (196) (Full Art),196/214
Zinnia's Resolve (Secret),225/203
Abomasnow,101/091
Minun,012/017
Grookey - SWSH001,SWSH001
Scyther,130/127
Gyarados,4/123
Kricketune V (Full Art),142/163
Narrow Gym,124/132
Rapidash,52/113
Teal Mask Ogerpon ex,012/131
Hisuian Basculegion - SWSH205,SWSH205
Gothorita,125/086
Professor Juniper - 2012 (Shuto Itagaki),98/108
Golduck,043/110
Arcanine,002/147
Porygon-Z,157/214
Electrode (Secret),222/198
Team Aqua's Electrike - 2004 (Chris Fulop),27/95
PlusPower - 2012 (Zachary Bokhari),96/114
Collapsed Stadium (Secret),215/196
Haunter,063/144
Field Blower,125/145
Haunter,049/088
Raichu V (Full Art),158/172
Galarian Cursola,SV050/SV122
Origin Forme Dialga V,113/189
Grusha,253/193
Cyndaquil (104),104/165
Ariados,2/115
Raichu,67/236
Wash Rotom,RT5
Politoed (27),27/75
M Charizard EX (Y),13/106
Dratini (2),2/20
Town Map - 2014 (Trent Orndorff),136/149
Charizard V,018/159
Ninetales,21/113
Diancie EX - XY43,XY43
Medicham,241/217
Gengar (2022 Copyright Date),066/196
Light Wigglytuff,054/105
Prism Energy,93/99
Scyther,46/100
Ditto,051/144
Arven - 2025 (Riley McKay),
Morpeko,121/182
Quilava - 2011 (Christopher Kan),49/95
Weavile,40/132
Shelgon,50/100
Klink,010/012
Sentret,62/92
Briar,163/142
Lt. Surge's Spearow (52),052/132
Time-Space Distortion - 2008 (Paul Atanassov),124/123
Victini - BW32,BW32
Team Magma's Aron,12/34
Snorlax - SWSH068 (Prerelease) [Staff],SWSH068
Zoroark - BW19,BW19
Water Energy (#29),29/30
Buzzwole GX,57/111
Team Magma's Claydol,11/34
Muk (Team Plasma),46/116
Giovanni's Machamp,006/132
Dark Dragonair,32/109
Dialga GX,82/131
Gothita - 2013 (Ian Whiton),43/98
Cofagrigus (47),47/101
Porygon2,028/147
Blissey ex,134/167
Tepig - 050,050
Pelipper - 022 (Prerelease) [Staff],022
Field Blower - 2018 (Naohito Inoue),125/145
Prism Tower,111/086
Basic Darkness Energy - 007 (Cosmos Holo),007
Vaporeon,34/100
Umbreon,010/090
Phanpy,111/214
Slowpoke,81/123
Fire Energy (2011 Play! Pokemon),
Gulpin,154/142
Drowzee,54/82
Field Blower - 2017 (Diego Cassiraga),125/145
Vileplume,045/165
Crabominable - 134 (Prerelease) [Staff],134/142
Code Card - Gallade EX Box,
Sandslash,009/034
Jellicent,35/99
Copycat,138/165
Noctowl - SWSH027,SWSH027
Mightyena ex,101/110
Pecharunt - 129,129
Gengar Spirit Link,95/119
Greninja ex - 054,054
Staraptor,16/130
Heatran EX (Team Plasma) (Full Art),109/116
Aurorus (Perfect Order Stamped),024/088
Sawsbuck,092/086
Pokemon Personality Test,102/105
Dark Slowbro,008/110
Double Rainbow Energy - 2007 (Akira Miyazaki),88/100
Minccino,SV093/SV122
Revive,089/102
Arceus - DP50,DP50
Viridian City Gym,123/132
Avalugg,031/106
Empoleon - 2007 (Akira Miyazaki),4/130
Arbok,3/30
Charmeleon (Delta Species),30/100
Golurk,59/124
Celesteela GX (Full Art),208/214
Raihan,GG65/GG70
Steven's Advice,83/108
Serperior VSTAR,008/195
Cheren's Care,GG58/GG70
Bulbasaur,166/165
Manaphy - SWSH275,SWSH275
Togetic,55/106
Multi Energy - 2009 (Stephen Silvestro),118/123
Victini (15),15/101
Giratina - XY184,XY184
Pokemon Reversal,99/123
Emboar (20),20/114
Fan of Waves (Secret),226/198
Gardevoir (Holo),7
Raichu BREAK,50/162
Electivire,025/132
Tangela,44/92
Quick Ball,237/264
Heal Energy - 2005 (Jeremy Maron),94/107
Rapid Strike Urshifu VMAX (Secret),TG30/TG30
Kirlia,008/017
Lapras ex,032/142
Rayquaza EX (XY73),XY73
Dusk Mane Necrozma - SM107,SM107
Clefairy,094/088
Professor Sada's Vitality - 2025 (Yuya Okita),
Riolu,SV21/SV94
M Rayquaza EX (61),61/108
Sharpedo (Team Plasma),33/135
Fighting Energy (2024),014
Pansear,XY131
Xerneas EX - XY07,XY07
Dark Vileplume (13),13/82
Lucario,6/130
Oshawott - BW08,BW08
Lunatone - 004,004
Banette,23/132
______'s Tepig,N/A
Jolteon,029/131
Pikachu,28/73
Hoppip (90) - 2010 (Yuka Furusawa),90/132
Lugia BREAK,79/124
Venusaur V - SWSH100,SWSH100
Flareon,010/110
Klefki,159/091
Salamence,057/108
Snorlax,77/124
Audino,108/124
Erika's Invitation,203/165
Butterfree FB,017/147
Kyogre ex,95/100
Rayquaza C,8
Vileplume GX,4/236
Lunala,102/236
Luxray GL - 2009 (Stephen Silvestro),9/111
Alakazam ex,201/165
Darkrai & Cresselia Legend (Top),99/102
Team Magma's Torkoal,12/95
Great Tusk ex - 072,072
Manectric - SM130 (Prerelease) [Staff],SM130
Town Volunteers,136/147
Magnezone (Team Plasma),046/135
Mewtwo,75/214
Code Card - Chaos Rising Pokemon Center Elite Trainer Box Digital Bundle,
Aerodactyl (Prerelease),01/62
Altaria EX (Full Art),123/124
Celebi & Venusaur GX - SM167,SM167
Basic Grass Energy (Blue Border),
M Heracross EX,5/111
Zekrom,64/108
Leafeon,005/131
Zorua - 2018 (Robin Schulz),52/73
Fraxure (Master Ball Pattern),069/086
Erika's Clefairy,040/132
Pidgeot,033/110
Nidoqueen,28/102
Hoopa EX,36/98
Jolteon (Delta Species),7/113
Scizor,094/149
Mary's Request - 2006 (Jason Klaczynski),86/115
Flareon GX - SM171,SM171
Dragonite EX (Full Art),106/108
Drakloak,248/217
Accelgor,094/086
Bronzong - XY21 (Prerelease),XY21
Chandelure VMAX (Secret),265/264
Kartana GX - 2018 (Robin Schulz),70/111
Jolteon,6/100
Cheren's Care (Full Art),168/172
Marill,204/193
Dark Magneton (28),28/82
Kingler,38/62
Code Card - Vivid Voltage Theme Deck [Drednaw],
Weavile,228/217
Pheromosa GX (Full Art),140/156
Furret,27/132
Hitmonlee,081/165
Dark Blastoise (20),20/82
Leafeon - SWSH191,SWSH191
Koffing,58/82
Simipour (Master Ball Pattern),018/086
Chespin,XY01
Psychic Energy - 2004 (Tsuguyoshi Yamato),107/109
Mega Eelektross ex,278/217
Porygon2,12/115
Chandelure,103/086
Float Stone,137/162
Dubwool V,SV120/SV122
Giovanni's Meowth (43),043/132
Groudon EX,54/108
Mimikyu - 075 (Pokemon Center Exclusive),075
Machamp,42/83
Exeggcute,064/105
Electabuzz,46/53
Grass Energy,088/095
Combusken,25
Drowzee (74a),074a/147
Chimchar (Cracked Ice Holo),012/017
Stantler,009/017
Holon Energy FF,104/113
Togekiss V,140/185
Marill,76/113
Chimchar (57),57/100
Cyclone Energy - 2007 (Jeremy Scharff-Kim),90/108
Team Magma Grunt,30/34
Butterfree,33/64
Latios - SM88,SM88
Blastoise,002/130
Grimmsnarl V,SV116/SV122
Pokemon Center,40/53
Professor's Research [Professor Rowan] (Full Art),150/159
Salamence GX,44/70
Basculin,108/086
Hydreigon,098/124
Flaaffy (Delta Species),30/101
Piplup,33/113
Unown (A),A/28
Raichu & Alolan Raichu GX (Alternate Full Art),221/236
Snorlax,080/106
Charmander,17/113
Charizard - SM226,SM226
Dark Weezing (14),14/82
Brandon (Secret),203/195
Gastly,33/62
Arven - 2024 (Fernando Cifuentes),186/197
Charizard ex,125/197
Vanillish (Master Ball Pattern),028/086
Gengar Spirit Link,095/119
Sabrina's Gastly (96),096/132
Leafeon,011/116
Charizard GX (Secret),150/147
Espurr,RC14/RC32
Luxray,48/156
Psychic Energy - 2008 (Jason Klaczynski),
Bronzong,TG11/TG30
Braviary (Master Ball Pattern),078/086
Onix - 2006 (Hiroki Yano),69/109
Scrafty,74/99
Pikachu (Snap),4
Emboar EX,14/122
Tyrantrum,045/088
Combusken,31/100
Tropius (Delta Species),23/101
Zekrom - BW005,BW005
Corviknight V,TG18/TG30
Darkrai & Cresselia Legend (Bottom),100/102
Celesteela,SV32/SV94
Boss's Orders [Cyrus],132/172
Raichu,40/99
Boost Energy,93/107
Thorton (Full Art),195/196
Buzzwole - 2018 (Naohito Inoue),77/131
Gabite,059/147
Clefairy,50/83
Kingdra,7/146
Mega Charizard X ex - 029,029
Larvitar,011/017
Stonjourner,SV075/SV122
Dialga (Shiny),SL2
Sableye,22/108
Double Colorless Energy - 2018 (Robin Schulz),69/73
Charizard EX - XY17,XY17
Duraludon VMAX (Secret),219/203
Alolan Exeggutor GX (Full Art),107/111
Iron Hands ex,248/182
Mienfoo (Master Ball Pattern),052/086
Carmine,204/167
Buddy-Buddy Poffin,223/167
Zapdos,46/113
Vibrava (Delta Species),54/110
Jynx,TG04/TG30
Water Energy (2011 Play! Pokemon),
Pikachu (Italian),PW 2
Mega Darkrai ex,101/084
Unown (C),C/28
Copycat - 2007 (Akira Miyazaki),73/101
Milotic ex,237/191
Fire Energy (Secret),284/264
Bloodmoon Ursaluna ex,141/167
Sewaddle (Master Ball Pattern),001/086
Krookodile,065/114
Mewtwo ex,101/109
Phanpy - 2011 (Ross Cawthon),77/123
Pawniard,142/086
Yveltal GX,79/131
Coalossal (Secret),198/189
Scramble Switch,186/191
Raichu,009/034
Tapu Lele GX - 2018 (Robin Schulz),60/145
Bede (Full Art),199/202
Ethan's Typhlosion (Prerelease) [Staff],034/182
Weavile G,17/127
Lucario,80/113
Dewgong (H6),H06/H32
Energy Retrieval,082/086
Duskull - 2014 (Trent Orndorff),38/106
Teal Mask Ogerpon - 123,123
Giratina EX (124 Full Art),124/124
Malamar VMAX (Secret),198/192
Marnie - SWSH120,SWSH120
Lana's Fishing Rod (Secret),266/236
Purugly,36/130
Eevee - SWSH190,SWSH190
Giratina VSTAR - 2024 (Evan Pavelski),131/196
Lotad (66) - 2005 (Michael Gonzalez),66/100
Gallade EX,34/108
Professor Turo's Scenario (Regional Championship),171/182
Inteleon V (Full Art),180/192
Mega Floette ex,117/086
N's Zoroark ex,137/217
Dialga G LV.X,122/127
Electivire,25/132
Palkia GX (Secret Rare),165/156
Sawsbuck,16/236
Houndoom E4,65/111
Pikachu - SWSH153 (Holiday Calendar),SWSH153
Pheromosa - SM115 (Prerelease),SM115
Cubone,50/64
Salamence,19/97
Liepard,91/149
Sharpedo,30/102
Pikachu,027/078
Seadra,37/101
Yamper,099/094
Kingdra ex (Delta Species),94/101
Terrakion - SM205 (Prerelease),SM205
Vulpix,81/101
Sudowoodo,9/95
Cynthia's Garchomp ex,104/182
Charmeleon,037/110
Thwackey,SV005/SV122
Luxio - BW34 (Cosmos Holo),BW34
Steven's Resolve,145/168
Caterpie,001/012
Gouging Fire ex,214/162
Mega Lucario ex - 012,012
Iron Leaves ex,186/162
Magnezone - SWSH208,SWSH208
Lickitung,16/18
Zubat,83/107
Dudunsparce,129/162
Lanturn (Prime),86/95
Blissey - 2011 (Ross Cawthon),106/123
All-Night Party,96/122
Black Kyurem EX,100/113
Zubat - 2015 (Patrick Martinez),53/135
Code Card - ex Battle Deck [Miraidon ex],
Entei GX,10/73
Alolan Sandslash - SM127,SM127
Pikachu EX - XY174,XY174
Boss's Orders [Ghetsis],114/132
Crobat G,47/127
Sylveon ex,086/191
Penny - 183/198 - 2024 (Fernando Cifuentes),183/198
M Ampharos EX (88 Full Art),88/98
Salazzle GX (Full Art),132/147
Meowth ex,107/088
Torterra,39/127
Armored Mewtwo - SM228,SM228
Eevee - SWSH042,SWSH042
Cynthia,119/156
Team Magma's Rhydon,22/95
Ultra Necrozma GX (Secret),78/70
Starmie,25/64
Minccino (Master Ball Pattern),075/086
Orthworm,224/193
Torchic,002/012
Snorlax (Team Plasma),101/135
Greninja,41/146
Pikachu,087/130
Night Maintenance - 2009 (Tsubasa Nakamura),120/132
Genesect,16/113
Thundurus GX - SM133,SM133
Miriam,251/198
Grass Energy - 2017 (Kabu Fukase),
Team Rocket's Houndoom,191/182
Trainers' Mail - 2015 (Jacob Van Wagner),92/108
Lycanroc,166/159
Choice Band - 2018 (Naohito Inoue),121/145
Lysandre - 2014 (Michikazu Tsuda),90/106
Cornerstone Mask Ogerpon ex,112/167
Heracross E4,24/111
Kingdra EX,73/124
Zoroark GX - 2018 (Robin Schulz),53/73
Holon Energy GL,105/113
Espathra,197/182
Braixen - XY161,XY161
Koraidon ex,231/198
Grimmsnarl V - SWSH057,SWSH057
Eldegoss,SV011/SV122
Electabuzz ex,97/109
Charizard V (Full Art),153/172
Pikachu (Full Art),RC29/RC32
Grimsley's Move,120/094
Boltund VMAX (Secret),267/264
Scizor EX,76/122
Scizor,141/197
M Venusaur EX (Full Art),100/108
Metagross GX (Full Art),139/145
Rattata,128/165
Mega Darkrai ex,120/084
Glaceon (Team Plasma),23/116
Kingdra (Alpha),108/160
Ho-oh,149/144
Lapras - HGSS14,HGSS14
Magnemite (7),07/75
Mega Lopunny & Jigglypuff GX (Alternate Full Art),226/236
Piplup,016/017
Lucario,14/95
Allister,TG24/TG30
Team Rocket's Ariana,224/182
Scizor (Prime),84/90
Hop's Snorlax - 184 (Prerelease),184
Rayquaza,11/20
Alolan Ninetales (17),SM128
Lairon,32/108
Squirtle,96/127
Beartic,110/086
Jolteon Star,101/108
Armarouge,203/198
Crawdaunt G,23
Lt. Surge (17),017/132
Snorlax ex,076/131
Poncho-wearing Pikachu,37/SM-P
Fire Energy (2004-2005),108/109
Giovanni's Nidorina,044/132
Mr. Stone's Project,77/101
Archeops - SWSH272 (Prerelease) [STAFF],SWSH272
Gallade - 2010 (Michael Pramawat),2/17
Spinarak,78/109
Raging Bolt (Cosmo Holo) (Best Buy),111/142
Gardevoir,7
Kabu,TG26/TG30
Plusle,47/113
M Tyranitar EX,43/98
Luxray,7/130
Blaine's Rapidash,033/132
N (Supporter) - BW100,BW100
Double Colorless Energy,090/108
Snorunt,188/182
Field Blower - 2017 (Zachary Bokhari),125/145
Throh,128/086
Neo Upper Energy,162/162
Swampert,27/100
Gloom - 2011 (Ross Cawthon),27/90
Guzma & Hala,193/236
Pincurchin,SV043/SV122
Ancient Tomb - 2005 (Takashi Yoneda),87/101
Psychic Energy (2024),013
Leafeon - SM237,SM237
Centiskorch VMAX,TG15/TG30
Vileplume,45/146
Flareon (3),03/64
Battle VIP Pass - 2022 (Rikuto Ohashi),225/264
Quick Ball (Secret),216/202
Weezing (32),032/165
Sylveon (Master Ball Pattern),040/131
Gurdurr (Master Ball Pattern),048/086
Heatran,001/017
Dark Gyarados,8/82
Galarian Ponyta,SV047/SV122
Mega Gengar ex - 073,073
Dark Gyarados (8),08/82
Electrode,39/181
Koraidon ex,247/198
Druddigon,017/020
Meganium,8/214
Jigglypuff (22),21/111
Arceus VSTAR (Secret) (176),176/172
Drampa,184/162
Lugia ex - 2006 (Hiroki Yano),105/115
Poliwrath (H24),H24/H32
Victini (Master Ball Pattern),012/086
Scyther,SV1/SV94
Salamence ex,96/108
Dudunsparce ex,178/159
Pikachu (Baby),27
Pikachu,052/196
Revavroom - 008 (Prerelease) [Staff],008
Fezandipiti ex - 2025 (Yuya Okita),
Leafy Camo Poncho (Secret),214/195
Lunala GX,066/149
Pokemon Center Lady (105 Full Art),105/106
Meowth,10/53
Ledian (Delta Species),18/101
Cherish Ball - 2019 (Shintaro Ito),191/236
Latias - 139 (Cosmo Holo),139
Lugia,029/115
Seeker,088/102
Rescue Stretcher - 2018 (Magnus Pedersen),130/145
Escavalier,138/086
Grass Energy (Texture Full Art),152/159
Flygon - 016 [Staff],016
Donphan,007/147
Moltres ex - 031 (EX Collector's Window Tins),031
Weezing (Team Plasma),58/135
Ledian,23/109
Lt. Surge's Raichu,028/132
Salamence V,143/189
Kingdra (148),148/147
Leafeon GX,13/156
Psychic Energy - 2018 (Magnus Pedersen),
Magmortar,12/123
Magikarp,23/124
Landorus,058/111
Kingdra,17/95
Professor Elm's Training Method - 2006 (Jimmy Ballard),89/115
Flygon EX - XY61 (XY Black Star Promo),XY61
Mega Sableye & Tyranitar GX (Alternate Full Art),226/236
Gyarados,024/124
Zacian - 015,015
Ninetales ex,96/101
Dedenne,88/131
M Absol EX - XY63,XY63
Primal Groudon EX,086/160
Mewtwo - SM214,SM214
Team Magma's Poochyena,65/95
Riolu,016/017
Drapion,4/102
Holon's Electrode - 2006 (Hiroki Yano),21/113
Slaking,16/127
Chimchar - 041,041
Mismagius GL Lv.X,110/111
Pokemon Breeder,105/130
Scream Tail ex,197/167
Ursaring (15),15/75
Mudkip,57/100
Slowpoke & Psyduck GX (Full Art),217/236
Seaking,46/64
Ninetales,20/95
Cynthia's Feelings - 2010 (Mychael Bryan),131/146
M Mewtwo EX (160 Full Art),160/162
Sylveon VMAX,TG15/TG30
Tauros,133/165
Sentret,4/30
Ash's Pikachu - SM114,SM114
Ralts (15) - 2008 (Jason Klaczynski),15/17
Slowpoke (Master Ball Pattern),018/131
Acerola (Full Art),142/147
Pikachu,71/99
Wigglytuff,111/264
Imposter Professor Oak,073/102
Jirachi - XY195,XY195
Gengar ex,108/112
Chinchou,055/111
Tepig,003/012
Secret Mission,118/132
Crobat,091/163
Poliwhirl,44/75
Gastrodon East Sea,8/132
Solrock,13/100
Infernape,31/127
Koga's Arbok,025/132
Jolteon ex,109/113
Milotic,28/124
Charmander (Delta Species),010/017
Jigglypuff,78/99
Caterpie,096/165
Relic Hunter,120/144
Cyndaquil (Delta Species),45/101
Superior Energy Retrieval - 189/193 - 2024 (Evan Pavelski),189/193
Kyogre EX,XY41
Golem,006/092
Oshawott,004/012
Eldegoss V (Full Art),176/192
Sableye V (Full Art),194/202
Tapu Fini,151/214
Flaaffy (#17),17/30
Darkness Energy - 2004 (Tsuguyoshi Yamato),93/109
Team Aqua Ball,75/95
Chansey,76/123
Spidops ex,019/198
Eevee,59/111
Weepinbell,064/130
N (Supporter),105/124
Serperior ex,156/086
Fire Energy,102/106
Mamoswine,009/146
Steven's Advice - 2008 (Jason Klaczynski),83/108
Drakloak,SV061/SV122
Octillery,34/64
Raikou,016/132
Pikachu ex - 2025 (Liao Fu Guan),
Rampardos GL,11/111
Judge,078/095
Solgaleo,99/168
Rescue Stretcher,130a/145
Greninja V-UNION - SWSH157,SWSH157
Alolan Ninetales GX (Secret),150/145
Skarmory,209/191
Electabuzz,024/130
Regieleki,060/203
Dragonair (Delta Species),28/101
Lanturn (H15),H15/H32
Professor Turo's Scenario,257/182
Lunala GX (Secret),153/149
Emolga,49/113
Charizard ex,228/197
Exeggutor (13),013/147
Solgaleo & Lunala GX,75/236
Azelf - 2009 (Stephen Silvestro),19/146
Girafarig - 2006 (Miska Saari),16/92
Maractus (Master Ball Pattern),008/086
Flygon (Delta Species) - 2007 (Jun Hasebe),7/110
Rare Candy,100/108
Nidoqueen (22),022/144
Magnemite (52),052/147
Pidgeot - 2005 (Jeremy Maron),10/112
Team Yell's Cheer,149/172
M Blastoise EX,30/146
Eevee,101/149
Tinkatuff,217/193
Typhlosion (28),028/165
Mewtwo (XY Evolutions Prerelease),51/108
Teammates,141/160
Metal Energy,112/114
Team Rocket's Mewtwo ex,081/182
Totodile (81),081/111
Kangaskhan - SWSH038 (Prerelease) [Staff],SWSH038
Seadra,063/110
Malamar - SM117 (Prerelease) [Staff],SM117
Code Card - Noble Victories Booster Pack,
Ducklett,SV095/SV122
Wobbuffet,045/144
Cinccino ex,119/086
Umbreon VMAX (Secret),214/203
Mewtwo,010/130
Water Energy,90/95
Gengar,038/111
Ash-Greninja EX - XY133,XY133
Kyogre ex - 001 (Nintendo Power Magazine),001
Butterfree (38),038/165
Sandaconda V (Alternate Full Art),252/264
Froakie,SV11/SV94
Buzzwole - SM218 (Prerelease) [Staff],SM218
Spearow,151/132
Unown VSTAR (Secret),199/195
Celebi V,001/202
Articuno,27/99
Bouffalant - 136 (Prerelease) [Staff],136
Sabrina's Abra,19/53
Dragonair (4),4/20
Galarian Rapidash V - SWSH111,SWSH111
Suspicious Food Tin (Secret),80/73
Watchog,079/114
Super Scoop Up,99/112
M Gyarados EX,27/122
Fire Energy,106/110
Regidrago V - 2024 (Evan Pavelski),135/195
Unit Energy LPM - 2018 (Robin Schulz),138/156
Blissey V (Alternate Full Art),183/198
Grass Energy,
Centiskorch VMAX,SV109/SV122
M Mawile EX - XY104,XY104
Espeon ex - 175,SVP 175
Bombirdier,219/198
Item Finder,074/102
Deoxys (Defense Forme),18/107
Dunsparce,053/144
Genesect EX,64/124
Krookodile,066/108
Iono,254/193
Houndoom,096/163
Oranguru - SM13 (Prerelease) [Staff],SM13
Ludicolo,2/18
Team Magma's Rhydon,11/95
Code Card - Decidueye GX Premium Collection,
Numel (Peelable Ditto),013/078
Dusknoir FB,26
Bagon,6/20
Duraludon - SWSH028 (EB Games Exclusive),SWSH028
Dark Metal Energy,97/110
Mega Gardevoir ex,178/132
Piplup (15) - 2008 (Dylan Lefavour),15/17
Zacian VSTAR,096/159
Mega Zeraora ex,098/084
Mismagius ex,036/094
Lightning Energy (2004-2005),109/109
Energy Switch (Raichu),29/30
Darkness Energy (#26),26/30
Alolan Persian,079/149
Entei GX (Secret),74/73
Golurk,059/124
Lunala GX (Secret Rare),172/156
Raichu (#30 Holo),30/30
Kyogre,53/160
Leafeon VMAX,008/203
Pokemon Collector - 2010 (Mychael Bryan),97/123
Sceptile,8/116
Super Scoop Up,098/111
Spiritomb - 2010 (Michael Pramawat),32/99
Entei,112/091
Slakoth,99/123
Guzzlord,080/131
Bunnelby,150/189
Mega Lucario ex,077/132
Pecharunt ex,095/064
Shedinja,14/107
Dragonair,14/97
Ivysaur,044/130
Eevee GX - SM174,SM174
Code Card - TAG TEAM Powers Collection [Umbreon & Darkrai GX],
Charizard,004/130
Malamar EX,58/119
Tapu Lele GX - 2017 (Kabu Fukase),60/145
Naganadel & Guzzlord GX (Secret),260/236
Blastoise & Piplup GX (Full Art),214/236
Holon Scientist - 2007 (Jun Hasebe),97/113
Geodude,55/97
Sceptile EX - XY53,XY53
Lombre,46/100
Chansey - 2011 (Ross Cawthon),58/123
Flareon,013/131
Champions Festival - XY27 (2014 Staff),XY27
Radiant Tsareena,016/195
Machamp,20/100
Frillish,126/086
Decidueye GX - 2017 (Kabu Fukase),12/149
Oranguru,SV44/SV94
Flareon V - SWSH179,SWSH179
Erika's Gloom (46),046/132
Lucario GX,SV64/SV94
Slowbro,043/198
Ivysaur,35/100
Basic Lightning Energy (Blue Border),
Galarian Perrserker V (Full Art),183/196
Honchkrow,10/123
Tinkatink,216/193
Regidrago V (Full Art),183/195
Vivillon (High Plains [Orange]),17/146
Chien-Pao ex - 030,030
Dragonite EX,072/108
Feraligatr (5),005/111
Nidoking (150),150/147
Charizard G Lv.X,143
Cradily,7/108
Groudon EX (106 Full Art),106/108
Iron Valiant ex,157/131
Lt. Surge's Electrode,052/132
Ampharos,001/132
Regigigas,037/146
Water Energy (WotC 2002 League Promo),
Delcatty,4/127
Greninja & Zoroark GX (201) (Alternate Full Art),201/214
Dodrio,200/091
Charizard,3/70
Vanilluxe (Master Ball Pattern),029/086
Murkrow,30/115
Gengar & Mimikyu GX (Alternate Full Art),165/181
Tyranitar,30/100
Pokemon Reversal - 2004 (Kevin Nguyen),87/109
Toxtricity ex - 215 (Illustration Contest 2024),215
Wartortle,171/165
Luxio - BW34 (Cracked Ice Holo),BW34
Cynthia,SV82/SV94
Zeraora GX,86/214
Pokemon Collector,097/123
Brave Bangle,080/086
Scyther,095/091
Zacian V-UNION - SWSH164,SWSH164
Hisuian Decidueye V (Full Art),173/189
Feebas (Delta Species),49/101
Jirachi - XY112,XY112
Chandelure VMAX,040/264
Ivysaur,134/132
Torterra LV.X - DP09,DP09
Charizard GX - SM60 (SM Black Star Promos),SM60
Cleffa - 2011 (Gustavo Wada),24/95
Snorlax,15/112
Omastar,43/75
Togepi (Delta Species),41/101
Azelf,4/123
Ampharos - BW67,BW67
Hypno (8),08/62
Rattata,66/82
Garbodor (119 Secret Rare),119/116
Squirtle - 048 (Cosmos Holo),048
Pikachu ex,179/131
Virbank City Gym - 2014 (Haruto Kobayashi),126/135
Paldean Wooper,180/091
Awakening Drum,141/162
Suicune,59/214
Diglett,106/165
Sudowoodo,SV20/SV94
Piplup,032/156
Luxray,046/122
Alolan Golem GX (Full Art),102/111
Chingling,042/123
Azelf LV.X - 2010 (Michael Pramawat),140/146
Infernape E4 Lv.X,108/111
Dark Sylveon V - SWSH134,SWSH134
Lampent,102/086
Copycat,21/30
Glalie,13/106
Feebas - 2005 (Jeremy Maron),61/101
Lightning Energy - 2012 (Chase Moloney),
Eelektross (Team Plasma),33/101
Water Energy (2004-2005),106/109
Hoopa - 2019 (Haruki Miyamoto),140/236
Morpeko V-Union - SWSH287,SWSH287
Dwebble,003/012
Beedrill (H4),H04/H32
Magnezone (5),5/100
Geodude (Stamped),043/083
Whirlipede,133/086
Artazon,229/197
Machamp,008/102
Eevee,074/131
Kommo-o GX - SM71 (SM Black Star Promo),SM71
Glaceon GX - SM147,SM147
Lillipup,154/086
Rayquaza C Lv.X,146
Leafeon (Master Ball Pattern),005/131
Yveltal (Game Stop),088/132
Pikachu VMAX (Secret),188/185
Garbodor,141/086
Alolan Meowth,010/012
Misty's Poliwag,087/132
Pikachu VMAX - SWSH062,SWSH062
Hydrapple (Cosmos Holo),018/182
Code Card - Charizard EX Box,
Gengar (Cosmos Holo) (EB Games Exclusive),050/088
Double Colorless Energy - 2012 (Shuto Itagaki),92/99
Choy (Full Art),182/189
Cleffa,78/130
Victini EX (131 Full Art),131/135
Corviknight V - SWSH200,SWSH200
Latias,GG20/GG70
Victreebel,44/146
Zacian V,GG48/GG70
Metang,44/101
Pignite,25/149
Water Energy - 2007 (Akira Miyazaki),
Sabrina's Slowbro,060/132
Togekiss EX,83/122
Magcargo (H17),H17/H32
Baltoy - 2010 (Yuka Furusawa),60/106
Lycanroc - SM118 (Prerelease),SM118
Lt. Surge's Voltorb,084/132
Holon's Castform - 2007 (Tom Roos),44/110
Tropical Beach - 2014 (Haruto Kobayashi),BW50
Zorua,142/086
Metal Energy (Basic),122/123
Suicune - 2014 (Michikazu Tsuda),20/101
Infernape LV.X - DP10,DP10
Radiant Gardevoir,069/196
Code Card - Trainer's Tool Kit (2020),
Croconaw (Delta Species),27/101
Sceptile GX (Secret),216/214
Garchomp EX - XY09 (XY Black Star Promo),XY09
Mallow & Lana,256/S-P
Azurill,20/113
Venomoth GX,12/214
Multi Technical Machine 01,009/017
Team Rocket's Wobbuffet (Pokemon Center Exclusive),203
Muscle Band,121/146
Alolan Ninetales GX,SV53/SV94
Absol,15/92
Mega Sableye & Tyranitar GX,126/236
Espeon V (Alternate Full Art),180/203
Galarian Linoone,SV079/SV122
Mewtwo EX (62),62/162
Genesect - BW99,BW99
Blastoise,25/181
Lunatone,GG11/GG70
Magneton,17/97
Code Card - Mega Evolution Pokemon Center Elite Trainer Box (Exclusive),
Piloswine,044/111
Minun,71
Zamazenta V - SWSH019,SWSH019
Pokemon Collector - 2011 (Christopher Kan),97/123
Code Card - Mimikyu Sidekick Collection,
Terrakion (99 Full Art),99/101
Espeon,011/147
Code Card - Scarlet & Violet Pokemon Center Elite Trainer Box (Exclusive) [Miraidon],
Trapinch,68/108
Galarian Obstagoon (Secret),198/185
