card_name,card_number,card_name_cleaned
Trevor - XY33,XY33,Trevor
Tapu Fini GX (Secret),152/147,Tapu Fini GX (Secret)
Roseanne's Research - 2008 (Tristan Robinson),125/132,Roseanne's Research - 2008 (Tristan Robinson)
Victory Cup - BW29 (Battle Road Autumn 2011) [3rd Place],BW29,Victory Cup (Battle Road Autumn 2011) [3rd Place]
Pikachu - 214 (Illustration Contest 2024),214,Pikachu (Illustration Contest 2024)
M Venusaur EX,2/83,M Venusaur EX
Charmander - 044,044,Charmander
Melmetal V (Full Art),075/078,Melmetal V (Full Art)
Pikachu (SNAP Promo),26/53,Pikachu (SNAP Promo)
Korrina's Focus (Secret),174/163,Korrina's Focus (Secret)
Tauros,16/112,Tauros
Fervor,124/132,Fervor
Machamp (H15),H15/H32,Machamp (H15)
Houndstone,168/091,Houndstone
Flaaffy,27/97,Flaaffy
Swampert,9/106,Swampert
Warp Point - 2004 (Kevin Nguyen),85/95,Warp Point - 2004 (Kevin Nguyen)
Darkness Energy (Basic),111/114,Darkness Energy (Basic)
Kleavor VSTAR - SWSH249,SWSH249,Kleavor VSTAR
Pikachu - 027,027,Pikachu
Drilbur,008/012,Drilbur
Meowth (Delta Species),011/017,Meowth (Delta Species)
Marshadow,103/236,Marshadow
Indeedee V,SV114/SV122,Indeedee V
Yanmega - 2011 (Gustavo Wada),98/102,Yanmega - 2011 (Gustavo Wada)
Magmortar Lv.X,123/123,Magmortar Lv.X
Golurk,150/149,Golurk
Shinx,043/099,Shinx
Iron Leaves ex,203/162,Iron Leaves ex
Maractus,093/086,Maractus
Mew V,069/189,Mew V
Superior Energy Retrieval,103/116,Superior Energy Retrieval
Lanturn,38/101,Lanturn
Slowking,21/122,Slowking
Munchlax (70),70/111,Munchlax
Combusken,28/109,Combusken
Judge,TG25/TG30,Judge
Toedscruel ex,022/197,Toedscruel ex
Gardevoir ex - 2004 (Kevin Nguyen),96/100,Gardevoir ex - 2004 (Kevin Nguyen)
Head Ringer,97/119,Head Ringer
Nidoking (H18),H18/H32,Nidoking (H18)
Venomoth GX (Full Art),193/214,Venomoth GX (Full Art)
Prism Energy (Poke Ball Pattern),086/086,Prism Energy (Poke Ball Pattern)
Switch - 2004 (Kevin Nguyen),92/109,Switch - 2004 (Kevin Nguyen)
Garchomp,099/156,Garchomp
Typhlosion - 034 (Epic Collection Value Boxes),034,Typhlosion (Epic Collection Value Boxes)
Smeargle,015/015,Smeargle
Rocket's Moltres ex,100/109,Rocket's Moltres ex
Jolteon VMAX,051/203,Jolteon VMAX
Dark Bell,106/084,Dark Bell
Rapid Strike Urshifu VMAX,088/163,Rapid Strike Urshifu VMAX
Beldum,029/101,Beldum
Houndoom V (Full Art),178/189,Houndoom V (Full Art)
Warp Point - 2006 (Hiroki Yano),93/115,Warp Point - 2006 (Hiroki Yano)
Dusknoir,2/130,Dusknoir
Meowth,69/112,Meowth
Raichu GX - SM213,SM213,Raichu GX
N's Zekrom,155/217,N's Zekrom
Tyranitar,040/147,Tyranitar
Drowzee,210/198,Drowzee
Koraidon - 014,014,Koraidon
Kyogre EX (148 Full Art),148/160,Kyogre EX (Full Art)
Bayleef,35/123,Bayleef
Smoochum,30/123,Smoochum
M Charizard EX,13/108,M Charizard EX
Darkness Energy - 2012 (Igor Costa),,Darkness Energy - 2012 (Igor Costa)
Pikachu,26/83,Pikachu
Island Hermit,76/101,Island Hermit
Miltank,47/123,Miltank
Bidoof,70/130,Bidoof
Sabrina's Psychic Control,121/132,Sabrina's Psychic Control
Ancient Technical Machine [Rock] - 2004 (Reed Weichler),85/101,Ancient Technical Machine [Rock] - 2004 (Reed Weichler)
Quaxly - 082,082,Quaxly
Weezing,31/106,Weezing
Tyranitar V,097/163,Tyranitar V
Sylveon V,TG14/TG30,Sylveon V
Houndoom (14),014/147,Houndoom
Metagross,010/146,Metagross
Servine,7/113,Servine
Solgaleo GX - SM104,SM104,Solgaleo GX
Snorlax ex (Prismatic Evolution Stamped),076/131,Snorlax ex (Prismatic Evolution Stamped)
Mega Kangaskhan ex,104/132,Mega Kangaskhan ex
Rare Candy - 2025 (Jose Cruz Galindo-Resendiz),,Rare Candy - 2025 (Jose Cruz Galindo-Resendiz)
Mesprit - 2010 (Mychael Bryan),14/123,Mesprit - 2010 (Mychael Bryan)
Uxie - 2010 (Michael Pramawat),43/146,Uxie - 2010 (Michael Pramawat)
Dusclops - 2010 (Michael Pramawat),35/100,Dusclops - 2010 (Michael Pramawat)
Dawn Stadium,79/100,Dawn Stadium
Mew,32/68,Mew
Scyther (57),057/147,Scyther
Gyarados 21/98,021/098,Gyarados 21/98
Hatenna - SWSH040 (General Mills Promo),SWSH040,Hatenna (General Mills Promo)
Pokemon Catcher - 2013 (Ian Whiton),95/98,Pokemon Catcher - 2013 (Ian Whiton)
Lance (Full Art),192/195,Lance (Full Art)
Seaking (Master Ball Pattern),021/131,Seaking (Master Ball Pattern)
Meowth,56/64,Meowth
Judge - 2011 (Gustavo Wada),78/95,Judge - 2011 (Gustavo Wada)
Float Stone - 2014 (Trent Orndorff),99/116,Float Stone - 2014 (Trent Orndorff)
Holon Transceiver - 2007 (Jeremy Scharff-Kim),98/113,Holon Transceiver - 2007 (Jeremy Scharff-Kim)
Cyndaquil (105),105/165,Cyndaquil
Celebi - 029 (EX Collector's Carry Tin),029,Celebi (EX Collector's Carry Tin)
Wooloo - SWSH011 (General Mills),SWSH011,Wooloo (General Mills)
Pheromosa - SM115 (Prerelease) [Staff],SM115,Pheromosa (Prerelease) [Staff]
Amarys,170/131,Amarys
Mew EX - 2014 (Trent Orndorff),46/124,Mew EX - 2014 (Trent Orndorff)
Ninjask,137/132,Ninjask
Wash Rotom - SM94 (Prerelease) [Staff],SM94,Wash Rotom (Prerelease) [Staff]
Cynthia,119a/156,Cynthia
Lucario EX - 2015 (Rowan Stavenow),54/111,Lucario EX - 2015 (Rowan Stavenow)
Cubone,51/109,Cubone
G Booster - 2014 (Andrew Estrada),92/101,G Booster - 2014 (Andrew Estrada)
Zapdos,14/100,Zapdos
Raihan,TG27/TG30,Raihan
Shelgon,43/70,Shelgon
Wingull,203/091,Wingull
Dawn,087/094,Dawn
Professor's Letter,123/146,Professor's Letter
Fezandipiti ex,142/217,Fezandipiti ex
Victini (98 Full Art),98/101,Victini (Full Art)
Sharpedo,37/132,Sharpedo
Pikachu ex,238/191,Pikachu ex
Steelix (Secret),247/236,Steelix (Secret)
Nidoking,031/110,Nidoking
Naganadel GX,160/236,Naganadel GX
Heavy Ball - 2014 (Michikazu Tsuda),88/99,Heavy Ball - 2014 (Michikazu Tsuda)
Ralts (Delta Species),61/101,Ralts (Delta Species)
Heatran EX (Team Plasma),13/116,Heatran EX (Team Plasma)
Lt. Surge's Electabuzz (27),027/132,Lt. Surge's Electabuzz
Shining Kabutops,108/105,Shining Kabutops
Trubbish - 2016 (Shunto Sadahiro),56/122,Trubbish - 2016 (Shunto Sadahiro)
Alolan Ninetales GX (Secret),225/214,Alolan Ninetales GX (Secret)
Peonia (Secret),219/198,Peonia (Secret)
Gigalith,129/086,Gigalith
Meganium,26/123,Meganium
Mega Zeraora ex,114/084,Mega Zeraora ex
Porygon-Z,144/182,Porygon-Z
Holon Mentor - 2007 (Jeremy Scharff-Kim),75/101,Holon Mentor - 2007 (Jeremy Scharff-Kim)
Misty's Water Command,63/68,Misty's Water Command
Kirlia - 2017 (Diego Cassiraga),92/147,Kirlia - 2017 (Diego Cassiraga)
Mega Venusaur ex - 013,013,Mega Venusaur ex
Noivern (#13 - Non-Holo),13/30,Noivern (#13 - Non-Holo)
Dratini,038/130,Dratini
Slowking,32/95,Slowking
Heliolisk - XY47,XY47,Heliolisk
Jumpluff,14/214,Jumpluff
Sylveon (#30 - Holo),30/30,Sylveon (#30 - Holo)
Fletchling,011/012,Fletchling
Scolipede,54/114,Scolipede
Code Card - Ascended Heroes Pokemon Center Elite Trainer Box digital bundle,,Code Card - Ascended Heroes Pokemon Center Elite Trainer Box digital bundle
Minccino,84/98,Minccino
Beedrill V (Alternate Full Art),161/189,Beedrill V (Alternate Full Art)
Misty's Wish,108/132,Misty's Wish
Cleffa,24/95,Cleffa
Gardevoir - 2004 (Kevin Nguyen),7/109,Gardevoir - 2004 (Kevin Nguyen)
Diglett,52/82,Diglett
Morty (Full Art),212/214,Morty (Full Art)
Annihilape ex,242/193,Annihilape ex
Radiant Steelix,124/196,Radiant Steelix
Porygon (103b),103b/147,Porygon (103b)
Quaquaval - 005 (Prerelease),005,Quaquaval (Prerelease)
Buck's Training,130,Buck's Training
Rattata,71/109,Rattata
Flapple,022/192,Flapple
Quilava,45/115,Quilava
Espeon,4/95,Espeon
Victreebel,12/102,Victreebel
Erika's Bellsprout,038/132,Erika's Bellsprout
Cradily,3/100,Cradily
Professor Oak's Visit (2008-2009),122/132,Professor Oak's Visit (2008-2009)
Vikavolt,230/217,Vikavolt
Morpeko VMAX,080/202,Morpeko VMAX
Vileplume GX (Full Art),211/236,Vileplume GX (Full Art)
Regirock - SM74 (Prerelease),SM74,Regirock (Prerelease)
Dark Ariados,017/105,Dark Ariados
Mega Lopunny & Jigglypuff GX (Full Art),225/236,Mega Lopunny & Jigglypuff GX (Full Art)
Snivy - BW06,BW06,Snivy
Jynx,026/110,Jynx
Lycanroc GX (SV66),SV66/SV94,Lycanroc GX (SV66)
Zacian V-UNION - SWSH163,SWSH163,Zacian V-UNION
Bebe's Search - 2010 (Yuka Furusawa),89/111,Bebe's Search - 2010 (Yuka Furusawa)
Diancie,GG13/GG70,Diancie
Lycanroc - SM105,SM105,Lycanroc
Ceruledge,040/091,Ceruledge
Gloom,078/165,Gloom
Dialga (Full Art Promo),XY77,Dialga (Full Art Promo)
Mesprit,34/146,Mesprit
Wooper,118/132,Wooper
Regice ex,97/101,Regice ex
Alolan Persian GX (Secret),257/236,Alolan Persian GX (Secret)
Mewtwo V-UNION [Set of 4],,Mewtwo V-UNION [Set of 4]
Leafeon,6/108,Leafeon
Charmander (97),097/165,Charmander
Klang,075/114,Klang
Beedrill Spirit Link - XY159,XY159,Beedrill Spirit Link
Black Kyurem ex (Surging Sparks Stamped),048/191,Black Kyurem ex (Surging Sparks Stamped)
Sneasel ex,103/109,Sneasel ex
Hisuian Typhlosion V - SWSH237,SWSH237,Hisuian Typhlosion V
Raticate,06/18,Raticate
Pikachu,57/108,Pikachu
Dowsing Machine - 2013 (Clement Lamberton),128/135,Dowsing Machine - 2013 (Clement Lamberton)
Orbeetle V - SWSH078,SWSH078,Orbeetle V
Darkness Energy (Basic),94/95,Darkness Energy (Basic)
Igglybuff,37/101,Igglybuff
Darkrai GX (Full Art),139/147,Darkrai GX (Full Art)
Magcargo,33/64,Magcargo
Sceptile,8/106,Sceptile
Colress's Tenacity - 057/064 - 2024 (Fernando Cifuentes),057/064,Colress's Tenacity - 2024 (Fernando Cifuentes)
Porygon,012/012,Porygon
Buddy-Buddy Poffin (EUIC Promo),144/162,Buddy-Buddy Poffin (EUIC Promo)
Alomomola (Master Ball Pattern),024/086,Alomomola (Master Ball Pattern)
Virizion V (Full Art),164/189,Virizion V (Full Art)
Eevee,167/236,Eevee
Celesteela,100/168,Celesteela
Gardevoir ex,233/091,Gardevoir ex
Levincia,244/182,Levincia
Ninetales,36/127,Ninetales
Metagross (Delta Species),11/113,Metagross (Delta Species)
Jamming Net,98/119,Jamming Net
Chandelure (Master Ball Pattern),018/086,Chandelure (Master Ball Pattern)
Latios GX (Secret),243/236,Latios GX (Secret)
Manectric,11/127,Manectric
Espeon,006/012,Espeon
Bisharp (79),79/108,Bisharp
Dragonite GX (Secret),248/236,Dragonite GX (Secret)
Galarian Slowpoke - SWSH126,SWSH126,Galarian Slowpoke
Altaria ex,90/106,Altaria ex
Wigglytuff,79/99,Wigglytuff
Archie,71/95,Archie
Fan Rotom (Master Ball Pattern),085/131,Fan Rotom (Master Ball Pattern)
Friends in Paldea,109/131,Friends in Paldea
Psychic Energy (2011 Play! Pokemon),,Psychic Energy (2011 Play! Pokemon)
Diancie - 2017 (Diego Cassiraga),94/147,Diancie - 2017 (Diego Cassiraga)
Delinquent,098b/122,Delinquent
Zacian V-UNION [Set of 4],,Zacian V-UNION [Set of 4]
Mega Dragonite ex,290/217,Mega Dragonite ex
Code Card - Celebrations Pokemon Center Elite Trainer Box (Exclusive),,Code Card - Celebrations Pokemon Center Elite Trainer Box (Exclusive)
Delcatty - 2004 (Kevin Nguyen),5/109,Delcatty - 2004 (Kevin Nguyen)
Vaporeon ex,149/131,Vaporeon ex
Skitty,64/92,Skitty
Code Card - Perfect Order Booster Bundle,,Code Card - Perfect Order Booster Bundle
Frosmoth,064/202,Frosmoth
Pidgeotto - 2005 (Takashi Yoneda),45/112,Pidgeotto - 2005 (Takashi Yoneda)
Pokemon Reversal - 2005 (Michael Gonzalez),97/112,Pokemon Reversal - 2005 (Michael Gonzalez)
Poppy,220/197,Poppy
Mega Greninja ex,100/086,Mega Greninja ex
Munchlax (69),69/111,Munchlax
Heatmor,104/086,Heatmor
Unown [Y],40/64,Unown [Y]
Kingdra (Prime),85/95,Kingdra (Prime)
Lightning Energy - 2013 (Clement Lamberton),,Lightning Energy - 2013 (Clement Lamberton)
Lugia Legend (Top),113/123,Lugia Legend (Top)
Rare Candy,82/95,Rare Candy
Scorbunny - SWSH071,SWSH071,Scorbunny
Code Card - Elite Trainer Box [Mewtwo X],,Code Card - Elite Trainer Box [Mewtwo X]
Lance Prism Star,61/70,Lance Prism Star
Dark Patch (Secret),216/196,Dark Patch (Secret)
Wartortle,65/127,Wartortle
Wynaut,77/236,Wynaut
Articuno (H3),H03/H32,Articuno (H3)
Voltorb,010/034,Voltorb
Farfetch'd,027/102,Farfetch'd
Eevee GX - SM175,SM175,Eevee GX
Rayquaza V (Full Art),193/203,Rayquaza V (Full Art)
Morpeko V-Union (SWSH287-290) [Set of 4],SWSH290,Morpeko V-Union (SWSH287-290) [Set of 4]
Gengar & Mimikyu GX,53/181,Gengar & Mimikyu GX
Inteleon (Secret),227/203,Inteleon (Secret)
Machoke,085/165,Machoke
Bastiodon GL,2/111,Bastiodon GL
Eevee - 2007 (Tom Roos),69/113,Eevee - 2007 (Tom Roos)
Espeon (Master Ball Pattern),033/131,Espeon (Master Ball Pattern)
Krookodile EX - XY25,XY25,Krookodile EX
Glaceon,020/100,Glaceon
Wynaut,54/100,Wynaut
Nightly Garbage Run (Rocket's Secret Machine),77/82,Nightly Garbage Run (Rocket's Secret Machine)
Hatterene VMAX,066/159,Hatterene VMAX
Diancie EX,72/124,Diancie EX
Prime Catcher - 2024 (Evan Pavelski),157/162,Prime Catcher - 2024 (Evan Pavelski)
Arcanine,1/12,Arcanine
Mega Heracross ex,108/094,Mega Heracross ex
Alakazam EX (Secret),125/124,Alakazam EX (Secret)
Pikachu V - SWSH145,SWSH145,Pikachu V
Pokemon Park,131/147,Pokemon Park
Cinderace,034/202,Cinderace
Fossil Researcher (110 Full Art),110/111,Fossil Researcher (Full Art)
Pidgeotto,47/102,Pidgeotto
Arceus V - SWSH204,SWSH204,Arceus V
Reshiram V (Full Art),172/195,Reshiram V (Full Art)
Terapagos ex,128/142,Terapagos ex
Bulbasaur,93,Bulbasaur
Bramblin,198/193,Bramblin
Blissey V,TG22/TG30,Blissey V
Irida,147/189,Irida
Kamado (Full Art),187/189,Kamado (Full Art)
Kingdra - XY39 (Prerelease) [Staff],XY39,Kingdra (Prerelease) [Staff]
Ivysaur,35/112,Ivysaur
Jirachi - SM161,SM161,Jirachi
Charizard,001/099,Charizard
Deoxys - SWSH170 (Prerelease),SWSH170,Deoxys (Prerelease)
______'s Pikachu,24,______'s Pikachu
Mew V - 2023 (Vance Kelley),113/264,Mew V - 2023 (Vance Kelley)
Pikachu,025/165,Pikachu
Solgaleo & Lunala GX (Secret),254/236,Solgaleo & Lunala GX (Secret)
Eevee VMAX - SWSH087,SWSH087,Eevee VMAX
Diantha,105/131,Diantha
Victini V (Full Art),144/163,Victini V (Full Art)
Diancie,RC22/RC32,Diancie
Ampharos,40/114,Ampharos
Sparkling Crystal,129/131,Sparkling Crystal
Dugtrio (10),010/165,Dugtrio
Iron Crown ex,081/162,Iron Crown ex
Brigette - 2018 (Magnus Pedersen),134/162,Brigette - 2018 (Magnus Pedersen)
Wellspring Mask Ogerpon ex,213/167,Wellspring Mask Ogerpon ex
Reshiram EX (95 Full Art),95/99,Reshiram EX (Full Art)
Dondozo,126/091,Dondozo
Charmander,RC3/RC32,Charmander
Vileplume (Delta Species),17/110,Vileplume (Delta Species)
Trevenant - 2014 (Trent Orndorff),55/146,Trevenant - 2014 (Trent Orndorff)
M Tyranitar EX (92 Full Art),92/98,M Tyranitar EX (Full Art)
Dunsparce,120/159,Dunsparce
Nosepass,17/106,Nosepass
Rattata,090/144,Rattata
Squirtle (132),132/165,Squirtle
Cyclizar ex,228/191,Cyclizar ex
Electrode,021/102,Electrode
Lightning Cube 01,127/147,Lightning Cube 01
Virbank City Gym - 2013 (Yugo Sato),126/135,Virbank City Gym - 2013 (Yugo Sato)
Ludicolo,7/100,Ludicolo
Charizard VMAX,020/189,Charizard VMAX
Oranguru - SM13 (Prerelease),SM13,Oranguru (Prerelease)
Noibat (Master Ball Pattern),090/131,Noibat (Master Ball Pattern)
Agatha (Secret),210/198,Agatha (Secret)
Gyarados V,028/203,Gyarados V
Eevee,TG11/TG30,Eevee
Grass Energy (2009 Unnumbered POP Promo),,Grass Energy (2009 Unnumbered POP Promo)
Kabu (Secret),77/73,Kabu (Secret)
AZ - 2015 (Rowan Stavenow),91/119,AZ - 2015 (Rowan Stavenow)
Luxray GL - 2009 (Tsubasa Nakamura),9/111,Luxray GL - 2009 (Tsubasa Nakamura)
Spinarak (62),062/147,Spinarak
Spark - SWSH226,SWSH226,Spark
Morpeko V-Union - SWSH218,SWSH218,Morpeko V-Union
Drowzee,54/109,Drowzee
Meowth (Ash vs Team Rocket Deck Kit),013/026,Meowth (Ash vs Team Rocket Deck Kit)
Super Rod - 2025 (Riley McKay),,Super Rod - 2025 (Riley McKay)
Aggron,1/109,Aggron
Charizard GX - SM211 (SM Black Star Promo),SM211,Charizard GX (SM Black Star Promo)
Umbreon (Obsidian Flames Stamped),130/197,Umbreon (Obsidian Flames Stamped)
Togepi,051/111,Togepi
Max Potion - 2014 (Michikazu Tsuda),94/98,Max Potion - 2014 (Michikazu Tsuda)
Lightning Energy (#10),10/30,Lightning Energy (#10)
Spheal,102/123,Spheal
Erika's Clefable,003/132,Erika's Clefable
League Staff,153/185,League Staff
Fossil Egg,72/75,Fossil Egg
Venusaur,28/100,Venusaur
Pidgeot,29/102,Pidgeot
Pidgeot V (Full Art),188/196,Pidgeot V (Full Art)
Gardevoir GX (Full Art),140/147,Gardevoir GX (Full Art)
Town Map,136/149,Town Map
Zeraora,151/142,Zeraora
Chinchou (71),071/147,Chinchou
Comfey,GG14/GG70,Comfey
Keldeo,GG07/GG70,Keldeo
Ho-Oh,XY153,Ho-Oh
Mystery Energy,112/119,Mystery Energy
Furfrou,012/012,Furfrou
Bellossom,16/101,Bellossom
Galarian Zapdos V,080/198,Galarian Zapdos V
Kabutops,6/100,Kabutops
Ceruledge - 014,014,Ceruledge
Munkidori (Master Ball Pattern),044/131,Munkidori (Master Ball Pattern)
Chandelure,TG04/TG30,Chandelure
Bulbasaur,068/110,Bulbasaur
Recall,116/132,Recall
Seel,081/105,Seel
Charmeleon,3/12,Charmeleon
Fraxure (14),14/20,Fraxure
Ivysaur,05/18,Ivysaur
Rocket's Hideout,87/109,Rocket's Hideout
Flying Pikachu,25/53,Flying Pikachu
Revive - 2011 (Christopher Kan),102/114,Revive - 2011 (Christopher Kan)
Magmar,051/130,Magmar
Squirtle,46/95,Squirtle
Fossil Researcher,092/111,Fossil Researcher
Single Strike Urshifu V,085/163,Single Strike Urshifu V
Flapple,210/191,Flapple
Exeggutor,24/123,Exeggutor
Kabutops (25),25/75,Kabutops
Chansey ex,96/109,Chansey ex
Accelgor (Master Ball Pattern),009/086,Accelgor (Master Ball Pattern)
Gallade,084/162,Gallade
Kyurem - SM142,SM142,Kyurem
Politoed (H23),H23/H32,Politoed (H23)
Ampharos,029/086,Ampharos
Dark Typhlosion,010/105,Dark Typhlosion
Kabuto (Delta Species),67/110,Kabuto (Delta Species)
Azurill,146/236,Azurill
Toxtricity VMAX,SV113/SV122,Toxtricity VMAX
Mystery Garden,172/132,Mystery Garden
Meowth,080/099,Meowth
Nosepass,18/109,Nosepass
Accelgor,012/101,Accelgor
Professor's Research [Professor Magnolia] (Secret),209/202,Professor's Research [Professor Magnolia] (Secret)
Thundurus EX (98 Full Art),98/108,Thundurus EX (Full Art)
Gabite,SV39/SV94,Gabite
Mr. Mime,30/123,Mr. Mime
Sabrina's Jynx,059/132,Sabrina's Jynx
Dedenne,093/088,Dedenne
Celebi,7/123,Celebi
Squirtle,63/95,Squirtle
Zacian V,138/202,Zacian V
Deoxys,33/108,Deoxys
Morgan (Full Art),178/181,Morgan (Full Art)
Pikachu,065/202,Pikachu
Swellow,45/97,Swellow
Chansey,069/147,Chansey
Energy Switch,120/147,Energy Switch
Zacian V (Secret),211/202,Zacian V (Secret)
Team Rocket's Giovanni,174/182,Team Rocket's Giovanni
Dusclops,4/100,Dusclops
Genesect EX (Team Plasma),11/101,Genesect EX (Team Plasma)
Code Card - Scarlet & Violet Pokemon Center Elite Trainer Box (Exclusive) [Koraidon],,Code Card - Scarlet & Violet Pokemon Center Elite Trainer Box (Exclusive) [Koraidon]
Pachirisu,43/100,Pachirisu
Hoppip,112/165,Hoppip
Garchomp & Giratina GX (Secret),247/236,Garchomp & Giratina GX (Secret)
Dragonite (52 Delta),52/108,Dragonite (Delta)
Float Stone - 2018 (Robin Schulz),137/162,Float Stone - 2018 (Robin Schulz)
Lunala,70/168,Lunala
Piplup,RC6/RC25,Piplup
Windstorm - 2008 (Jason Klaczynski),85/100,Windstorm - 2008 (Jason Klaczynski)
Ivysaur,014/017,Ivysaur
Golduck (50b),050b/147,Golduck (50b)
Malamar VMAX,122/192,Malamar VMAX
Zoroark,71/114,Zoroark
Dugtrio,052/144,Dugtrio
Arbok (3),003/165,Arbok
Corphish,54/97,Corphish
Ho-Oh GX - SM80 (SM Black Star Promo),SM80,Ho-Oh GX (SM Black Star Promo)
Dodrio,046/147,Dodrio
Unown V - SWSH300,SWSH300,Unown V
Wailord V,013/073,Wailord V
Pikachu - SM86,SM86,Pikachu
Dwebble (Master Ball Pattern),051/086,Dwebble (Master Ball Pattern)
Politoed,018/111,Politoed
Relicanth,173/162,Relicanth
Froslass (Secret),226/203,Froslass (Secret)
Necrozma,101/236,Necrozma
Pansage,089/086,Pansage
Charizard,004/102,Charizard
Cobalion - 2016 (Shintaro Ito),74/114,Cobalion - 2016 (Shintaro Ito)
Hitmonchan - 2,002/009,Hitmonchan
Magikarp,89/123,Magikarp
Buddy-Buddy Poffin,167/132,Buddy-Buddy Poffin
Sunny Castform,31/113,Sunny Castform
Spinda,017/017,Spinda
Volcanion - XY145 (Prerelease) [Staff],XY145,Volcanion (Prerelease) [Staff]
Darkrai Prism Star,77/156,Darkrai Prism Star
Snorlax GX - SM05,SM05,Snorlax GX
Vaporeon,025/108,Vaporeon
Fighting Energy (2017 Unnumbered) (Wave Foil),,Fighting Energy (2017 Unnumbered) (Wave Foil)
Volcanion - SM179 (Prerelease),SM179,Volcanion (Prerelease)
Team Magma's Aron,59/95,Team Magma's Aron
Origin Forme Dialga VSTAR (Secret),GG68/GG70,Origin Forme Dialga VSTAR (Secret)
Latios (Delta Species),22/110,Latios (Delta Species)
Dragonite EX,74/111,Dragonite EX
Rainbow Energy (Secret),183/168,Rainbow Energy (Secret)
Golurk,046/101,Golurk
Greninja Star,SWSH144,Greninja Star
Azumarill,2/123,Azumarill
Cobalion ex,103/086,Cobalion ex
Dusknoir,TG06/TG30,Dusknoir
Sceptile (Omega),9/160,Sceptile (Omega)
Rockruff,SV23/SV94,Rockruff
Toxtricity,103/094,Toxtricity
Articuno EX (Team Plasma) (132 Full Art),132/135,Articuno EX (Team Plasma) (Full Art)
Graveler,37/62,Graveler
Upper Energy,102,Upper Energy
Dark Forretress,035/105,Dark Forretress
Teammates - 2015 (Alejandro Ng-Guzman),141/160,Teammates - 2015 (Alejandro Ng-Guzman)
Water Energy,134/146,Water Energy
Entei GX,010a/073,Entei GX
Beartic (Team Plasma),41/135,Beartic (Team Plasma)
Misty's Gyarados (Prerelease) [Staff],049/182,Misty's Gyarados (Prerelease) [Staff]
Brigette - 2017 (Diego Cassiraga),134/162,Brigette - 2017 (Diego Cassiraga)
Aerodactyl V (Full Art),179/196,Aerodactyl V (Full Art)
Zapdos,8,Zapdos
Raikou EX - 2012 (Chase Moloney),38/108,Raikou EX - 2012 (Chase Moloney)
Fighting Energy - 2011 (Ross Cawthon),,Fighting Energy - 2011 (Ross Cawthon)
Code Card - 2022 World Championship Deck: Rikuto Ohashi (Ice Rider Palkia),,Code Card - 2022 World Championship Deck: Rikuto Ohashi (Ice Rider Palkia)
Eevee,054/144,Eevee
Torkoal,010/017,Torkoal
Team Aqua's Crawdaunt,14/95,Team Aqua's Crawdaunt
Chatot - 2008 (Dylan Lefavour),55/100,Chatot - 2008 (Dylan Lefavour)
Pikachu - SWSH039 (General Mills),SWSH039,Pikachu (General Mills)
Luxray,028/088,Luxray
Doublade,132/182,Doublade
Kabutops (Delta Species),9/110,Kabutops (Delta Species)
Squirtle,63/100,Squirtle
Clefairy,030/111,Clefairy
Enamorus V,TG18/TG30,Enamorus V
Quaxly - 003,003,Quaxly
Iron Bundle - 066,066,Iron Bundle
Miraidon - 092 (Prerelease) [Staff],092,Miraidon (Prerelease) [Staff]
Marowak (Delta Species),10/113,Marowak (Delta Species)
Weakness Guard,141/147,Weakness Guard
Pansear,021/114,Pansear
Jacq,250/198,Jacq
Fidough,038/091,Fidough
Poke Pad,081/088,Poke Pad
Zekrom,060/185,Zekrom
Umbreon V,TG22/TG30,Umbreon V
White Kyurem EX (146 Full Art),146/149,White Kyurem EX (Full Art)
Darkness Energy - 2013 (Jason Klaczynski),,Darkness Energy - 2013 (Jason Klaczynski)
Golisopod GX (Full Art),129/147,Golisopod GX (Full Art)
Golisopod ex,246/182,Golisopod ex
Erika's Bellsprout (75),075/132,Erika's Bellsprout
Tornadus - BW42,BW42,Tornadus
Steven's Advice - 2005 (Jeremy Maron),92/101,Steven's Advice - 2005 (Jeremy Maron)
Milotic ex,96/106,Milotic ex
Head Ringer (Team Flare Hyper Gear) - 2015 (Patrick Martinez),97/119,Head Ringer (Team Flare Hyper Gear) - 2015 (Patrick Martinez)
Zapdos,42/108,Zapdos
Slowbro,43/62,Slowbro
Torterra,9/156,Torterra
Pikachu,007/015,Pikachu
Dark Magneton,39/109,Dark Magneton
Vanilluxe,37/135,Vanilluxe
Junk Arm - 2012 (Zachary Bokhari),87/102,Junk Arm - 2012 (Zachary Bokhari)
Mewtwo,9/100,Mewtwo
Pyukumuku - SWSH169 (Prerelease),SWSH169,Pyukumuku (Prerelease)
Pikachu (Flying),25,Pikachu (Flying)
Rockruff - SM120,SM120,Rockruff
Genesect V (Alternate Full Art),255/264,Genesect V (Alternate Full Art)
Charizard,5/18,Charizard
Alolan Ninetales GX (Full Art),205/214,Alolan Ninetales GX (Full Art)
Igglybuff,44/123,Igglybuff
Gholdengo ex - 2025 (Liao Fu Guan),,Gholdengo ex - 2025 (Liao Fu Guan)
Glaceon,41/111,Glaceon
Lucario VSTAR - SWSH214,SWSH214,Lucario VSTAR
Snorlax,141/192,Snorlax
Skeledirge ex,233/193,Skeledirge ex
Goodra,94/131,Goodra
Ditto V,SV118/SV122,Ditto V
Fezandipiti ex,092/064,Fezandipiti ex
